service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20211002,20211211
2,0,0,0,0,0,0,0,20210927,20211210
3,0,0,0,0,0,0,0,20211001,20211211
4,0,0,0,0,0,0,0,20210927,20211211
5,0,0,0,0,0,0,0,20210927,20211209
6,0,0,0,0,0,0,0,20211003,20211205
7,0,0,0,0,0,0,0,20210927,20211211
8,0,0,0,0,0,0,0,20211002,20211211
9,0,0,0,0,0,0,0,20211002,20211211
10,0,0,0,0,0,0,0,20211001,20211210
11,0,0,0,0,0,0,0,20210927,20211209
12,0,0,0,0,0,0,0,20211003,20211205
13,0,0,0,0,0,0,0,20210927,20211210
14,0,0,0,0,0,0,0,20210927,20211210
15,0,0,0,0,0,0,0,20210928,20211210
16,0,0,0,0,0,0,0,20210927,20211206
17,0,0,0,0,0,0,0,20211101,20211105
18,0,0,0,0,0,0,0,20210927,20211210
19,0,0,0,0,0,0,0,20210928,20211208
20,0,0,0,0,0,0,0,20210928,20211207
21,0,0,0,0,0,0,0,20210929,20211208
22,0,0,0,0,0,0,0,20210927,20211209
23,0,0,0,0,0,0,0,20210930,20211209
24,0,0,0,0,0,0,0,20210927,20211209
25,0,0,0,0,0,0,0,20210928,20211209
26,0,0,0,0,0,0,0,20211001,20211210
27,0,0,0,0,0,0,0,20210927,20211210
28,0,0,0,0,0,0,0,20210930,20211210
29,0,0,0,0,0,0,0,20210927,20211209
30,0,0,0,0,0,0,0,20210928,20211209
31,0,0,0,0,0,0,0,20210927,20211207
32,0,0,0,0,0,0,0,20210927,20211210
33,0,0,0,0,0,0,0,20211001,20211210
34,0,0,0,0,0,0,0,20210927,20211209
35,0,0,0,0,0,0,0,20210928,20211210
36,0,0,0,0,0,0,0,20210927,20211208
37,0,0,0,0,0,0,0,20211103,20211103
38,0,0,0,0,0,0,0,20211101,20211203
39,0,0,0,0,0,0,0,20210927,20211210
40,0,0,0,0,0,0,0,20210929,20211208
41,0,0,0,0,0,0,0,20211101,20211203
42,0,0,0,0,0,0,0,20210927,20211210
43,0,0,0,0,0,0,0,20210927,20211210
44,0,0,0,0,0,0,0,20210928,20211210
45,0,0,0,0,0,0,0,20210929,20211209
46,0,0,0,0,0,0,0,20210930,20211210
47,0,0,0,0,0,0,0,20210928,20211210
48,0,0,0,0,0,0,0,20210927,20211208
49,0,0,0,0,0,0,0,20210927,20211210
50,0,0,0,0,0,0,0,20210927,20211210
51,0,0,0,0,0,0,0,20211106,20211106
52,0,0,0,0,0,0,0,20210928,20211210
53,0,0,0,0,0,0,0,20210927,20211210
54,0,0,0,0,0,0,0,20211105,20211105
55,0,0,0,0,0,0,0,20210927,20211211
56,0,0,0,0,0,0,0,20211128,20211205
